alloy_id,reference_id,TME,Ti,Nb,Mo,Zr,Sn,Ta,DEF,TEMP,TIME
213,55,58.6,95.84,0,4.16,0,0,0,94,900,0.5
214,55,66.9,94.48,0,4.24,0,1.28,0,94,900,0.5
215,55,74.8,93.54,0,4.29,0,2.17,0,94,900,0.5
216,55,76.8,92.58,0,4.35,0,3.07,0,94,900,0.5
217,55,68.7,91.59,0,4.4,0,4.01,0,94,900,0.5
218,55,58.4,90.58,0,4.46,0,4.96,0,94,900,0.5
219,55,50.2,89.54,0,4.52,0,5.94,0,94,900,0.5
220,55,46.8,88.47,0,4.58,0,6.95,0,94,900,0.5
222,57,46,78.16,2.52,0,15.38,3.94,0,0,0,0
236,60,93.96,97.36,2.64,0,0,0,0,0,0,0
237,60,92.71,96.83,2.66,0.51,0,0,0,0,0,0
238,60,78.44,95.76,2.68,1.56,0,0,0,0,0,0
239,60,62.05,94.67,2.71,2.62,0,0,0,0,0,0
240,60,71.67,93.27,2.74,3.99,0,0,0,0,0,0
241,60,93.1,91.83,2.78,5.39,0,0,0,0,0,0
242,60,89.82,90.35,2.82,6.83,0,0,0,0,0,0
243,60,77.11,88.83,2.86,8.31,0,0,0,0,0,0
244,61,85.21,84.55,7.66,0,7.79,0,0,0,400,1
245,61,75.92,83.67,7.78,0,7.93,0,0.62,0,400,1
246,61,72.61,82.76,7.92,0,8.07,0,1.25,0,400,1
247,61,70.77,81.82,8.06,0,8.21,0,1.91,0,400,1
248,61,65.42,80.85,8.2,0,8.36,0,2.59,0,400,1
254,64,102.64,97.36,2.64,0,0,0,0,0,0,0
260,65,102.34,97.36,2.64,0,0,0,0,0,0,0
277,70,55,71.95,18.53,0,0,0,9.52,80,850,0.5
279,71,63.49,52.58,20.73,0,26.69,0,0,86,890,1
280,72,68,84.15,9.63,0,2.45,3.77,0,0,850,1.5
281,72,63,81.31,12.32,0,2.51,3.86,0,0,850,1.5
282,72,45,78.34,15.14,0,2.57,3.95,0,0,850,1.5
283,72,60,75.23,18.09,0,2.63,4.05,0,0,850,1.5
284,72,69,68.53,24.45,0,2.77,4.25,0,0,850,1.5
285,73,81.25,92.85,7.15,0,0,0,0,0,0,0
286,73,80.99,83.31,16.69,0,0,0,0,0,0,0
287,74,105,93.02,1.65,5.33,0,0,0,0,0,0
288,74,122,91.22,3.36,5.42,0,0,0,0,0,0
289,74,120,89.38,5.12,5.5,0,0,0,0,0,0
290,75,56,76,24,0,0,0,0,0,400,0.66
291,76,41.54,79.76,20.24,0,0,0,0,0,0,0
292,76,41.54,78.31,20.49,1.2,0,0,0,0,0,0
294,76,41.54,78.49,20.54,0,0,0.97,0,0,0,0
296,77,41.54,96.8,0,3.2,0,0,0,0,0,0
297,77,41.54,95.5,0,4.5,0,0,0,0,0,0
298,77,41.54,94,0,6,0,0,0,0,0,0
299,77,41.54,93,0,7,0,0,0,0,0,0
300,77,41.54,92,0,8,0,0,0,0,0,0
301,77,41.54,88,0,12,0,0,0,0,0,0
309,80,110,85.53,7.64,6.83,0,0,0,0,500,1
323,86,89.84,85.34,14.66,0,0,0,0,0,0,0
324,86,94.66,84.78,14.76,0,0,0.46,0,0,0,0
325,86,94.09,83.63,14.96,0,0,1.41,0,0,0,0
